objectid,gis_key,address
"4"," "," "
"207","10-33-2","1 A&B OLD RUNNELLS BRIDGE RD"
"579","5-9","54A & 54B SO DEPOT RD"
"623","5-31","TERRELL LN"
"624"," "," "
"968","4-73","26 CLINTON DR"
"1070","9-59-1A","TWISS LN"
"2354"," "," "
"2634"," "," "
"3144","9-29-1A","JEWETT LN"
"3738","13-5-1","11 NO PEPPERELL RD"
"4840","9-36-1","205 A&B DEPOT RD"
"5573","26-47","320 BROAD ST"
"5783","23-8A","DEACON LN"
"5960"," "," "
"6522","18-11","92 VAN DYKE RD"
"6550","19-26","40 WRIGHT RD"
"6638","50-5-1","MAIN ST"
"8005","59-16","FEDERAL HILL RD"
"8159"," "," "
"8452"," "," "
"8673"," "," "
"9042"," "," "
"9159","59-14","48 FEDERAL HILL RD"
"10672","36-35-2","SILVER LAKE RD"
"10895"," ","SILVER LAKE RD "
"11027","38-11","30 FARLEY RD"
"11111","42-45","103 MOOAR HILL RD"
"11188"," ","MEADOW DR OFF* "
"11340","41-26","353 SILVER LAKE RD"
"11730"," ","SOUTH MERRIMACK RD "
"12380","43-50-26B","SWALLOW DR"
"12437","46-7","447 SILVER LAKE RD"
"12448","43-50-26A","SWALLOW DR"
"13149"," ","RTE 101A "
"35941","35-9-A","FEDERAL HILL RD"
"36356","29-1-20","LORENZOS LN"
"43311","12-17-8","AUSTIN LN"
"43539"," "," "
"44118","2-2-1","HOLLIS RD (REAR)"
"46172"," "," "
"46195"," "," "
"46379","28",""
"65455","46-17-1-3","106 WITCHES SPRING RD"
