objectid,gis_key,address
"35017","144-4","23 A&B ROBINSON RD"
"35047","118-24","15 A&B LENNY LN"
"35116","140-48","130 GREELEY ST"
"35164","118-23","17 A&B LENNY LN"
"35673","118-19","20 A&B LENNY LN"
"35676","118-18","18 A&B LENNY LN"
"35682","118-16","14 A&B LENNY LN"
"35685","118-15","12 A&B LENNY LN"
"35688","118-14","10 A&B LENNY LN"
"35690","118-13","8 A&B LENNY LN"
"35693","118-12","6 A&B LENNY LN"
"35701","118-10","2 A&B LENNY LN"
"35792","101-11","2 TRACY LN"
"35835","102-4","178 A&B OLD DERRY RD"
"35838","102-5","176 A&B OLD DERRY RD"
"35848","102-2","182 A&B  OLD DERRY RD"
"35851","102-3","180 A&B OLD DERRY RD"
"35898","105-28","16 A&B TWIN MEADOW DR"
"35901","105-30","10 A&B TWIN MEADOW DR"
"35902","105-31","8 A&B TWIN MEADOW DR"
"35904","105-25","9 TWIN MEADOW DR"
"36009","106-18","165 A&B OLD DERRY RD"
"36015","106-16","161 A&B OLD DERRY RD "
"36039","106-8","4 A&B TWIN MEADOW DR"
"36042","106-7","6 A&B TWIN MEADOW DR"
"36048","106-5","3A & 3B TWIN MEADOW DR"
"36084","125-31","79 A&B ROBINSON RD"
"36087","125-30","81 A&B ROBINSON RD"
"36090","125-29","1 A&B OLD ROBINSON RD"
"36093","125-28","3 A&B OLD ROBINSON RD"
"36125","107-33","37 A&B BOYD RD"
"36185","126-28","17 A&B KIENIA DR"
"36188","126-27","3 A&B DAVID DR"
"36191","126-26","5 A&B DAVID DR"
"36194","126-25","7 A&B DAVID DR"
"36197","126-24","9 A&B DAVID DR"
"36200","126-23","11 A&B DAVID DR"
"36206","126-21","15 DAVID DR"
"36208","126-20","17 A&B DAVID DR"
"36253","110-45","183 A&B ROBINSON RD"
"36259","110-46","185 A&B ROBINSON RD"
"36266","110-47","187 A&B ROBINSON RD"
"36426","110-10","3 A&B KINGSTON WAY"
"36431","110-9","5 A&B KINGSTON WAY"
"36434","110-8","7 A&B KINGSTON WAY"
"36437","110-6","9 A&B KINGSTON WAY"
"36439","110-5","10 A&B KINGSTON WAY"
"36442","110-4","8 A&B KINGSTON WAY"
"36445","110-3","6 A&B KINGSTON WAY"
"36448","110-2","4 A&B KINGSTON WAY"
"36515","111-49","162 A&B ROBINSON RD"
"36518","111-48","160 A&B ROBINSON RD"
"36520","111-47","158 A&B ROBINSON RD"
"36561","111-4","175 A&B ROBINSON ED"
"36566","112-4","66 A&B KIENIA RD"
"36568","112-5","64 A&B KIENIA RD"
"36587","112-23","63 A&B KIENIA RD"
"36593","112-25","67 A&B KIENIA RD"
"36637","112-16","49 A&B KIENIA RD"
"36772","116-13","18 A&B CHAGNON DR"
"36874","117-6","3 A&B JULIE LN"
"36967","118-34","27 A&B KIENIA RD"
"36993","118-26","11 A&B LENNY LN"
"36996","118-25","13 LENNY LN"
"37114","136-15","4 A&B HOPKINS DR"
"37115","136-14","2 A-D HOPKINS DR"
"37133","145-11","10 & 12 SULLIVAN RD"
"37160","151-53","4 A&B RANGERS DR"
"37161","151-52","6 A&B RANGERS DR"
"37162","151-51","8 A&B RANGERS DR"
"37163","151-50","10 A&B RANGERS DR"
"37165","151-49","10 1/2 A&B RANGERS DR"
"37167","151-48","12 A&B RANGERS DR"
"37169","151-47","14 A&B RANGERS DR"
"37170","151-46","16 A&B RANGERS DR"
"37172","151-44","20 A&B RANGERS DR"
"37173","151-43","22 A&B RANGERS DR"
"37178","151-38","24 A&B RANGERS DR"
"37183","151-33","23 1/2 A&B RANGERS DR"
"37184","151-32","23 A&B RANGERS DR"
"37185","151-31","21 A&B RANGERS DR"
"37186","151-30","19 A&B RANGERS DR"
"37187","151-29","17 A&B RANGERS DR"
"37189","151-27","13 A&B RANGERS DR"
"37190","151-26","11 A&B RANGERS DR"
"37191","151-25","9 A&B RANGERS DR"
"37192","151-24","7 A&B RANGERS DR"
"37193","151-23","5 A&B RANGERS DR"
"37194","151-22","3 A&B RANGERS DR"
"37210","151-6","36 BARRETTS HILL RD"
"37211","151-5","38A BARRETTS HILL RD"
"37213","151-3","42 A&B BARRETTS HILL RD"
"37271","152-13","87 A&B BARRETTS HILL RD"
"37275","152-8","97 & 99 BARRETTS HILL RD "
"37281","152-2","23 MALLARD DR"
"37304","153-33","11 A&B LUND DR"
"37305","153-34","13 A&B LUND DR"
"37306","153-35","15 A&B LUND DR"
"37307","153-37","19 A&B LUND DR"
"37308","153-36","17 A&B LUND DR"
"37379","161-29-11","73 A & B TERRACEVIEW DR"
"37399","161-3","127 & 129 BARRETTS HILL RD"
"37411","161-6","120 A&B BARRETTS HILL RD"
"37434","162-68","67 A&B SULLIVAN RD"
"37435","162-67","69 A&B SULLIVAN RD"
"37436","162-66","71 A&B SULLIVAN RD"
"37440","162-62","7 A&B PAGET DR"
"37442","162-60","49 A&B LUND DR"
"37443","162-59","51 A&B LUND DR"
"37444","162-58","53 A&B LUND DR"
"37445","162-57","55 A&B LUND DR"
"37446","162-56","57 A&B LUND DR"
"37448","162-54","11 A&B HEDGEROW DR"
"37452","162-50","5 A&B HEDGEROW DR"
"37453","162-49","7 A&B HEDGEROW DR"
"37454","162-48","54 A&B LUND RD"
"37455","162-47","52 A&B LUND DR"
"37456","162-46","50 A&B LUND DR"
"37462","162-40","30 A&B LUND DR"
"37463","162-39","28 A&B LUND DR"
"37464","162-38","26 A&B LUND DR"
"37465","162-37","24 A&B LUND DR"
"37466","162-36","22 A&B LUND DR"
"37467","162-35","20 A&B LUND DR"
"37468","162-34","23 A&B LUND DR"
"37469","162-33","25 A&B LUND DR"
"37471","162-31","29 A&B LUND DR"
"37473","162-29","33 A&B LUND DR"
"37474","162-28","35 A&B LUND DR"
"37529","163-2","14 A&B HEDGEROW DR"
"37530","163-1","13 A&B HEDGEROW DR"
"37714","128-10-2","285 A & B WEBSTER ST"
"37722","129-48","16 A&B PLAZA AVE"
"37740","128-6-1","288 WEBSTER ST"
"38064","147-10","217 A&B WEBSTER ST"
"38067","139-2","6 & 8 RAYES DR"
"38454","191-47","15 A&B A ST"
"38477","198-30","13 A&B A ST"
"38499","191-46","8 A&B E ST"
"38589","167-21","5 B LAMPRON RD"
"38649","168-71","29 A&B GREELEY ST"
"38666","174-31","47 A-C DERRY ST"
"38703","182-154","54 & 56 CENTRAL ST"
"38733","182-52","16 A&B CENTRAL ST"
"38943","190-68","13 & 15 PORTER AVE"
"39003","190-133","41 A&B RIVERSIDE DR"
"39095","190-102","14 A&B  WATERSEDGE DR"
"39119","190-116","14 A&B GILLIS ST"
"39120","190-117","15 A&B GILLIS ST"
"39121","190-118","13 A&B GILLIS ST"
"39234","165-100","17 A&B HILL ST"
"39274"," ","HIGHLAND ST"
"39275"," ","HIGHLAND ST OFF"
"39655","160-93","146 A&B BARRETTS HILL RD"
"39656","149-3","10 A&B SUNSHINE DR"
"39658","167-18","6 B LAMPRON RD"
"39877","184-14","7 & 7 1/2 GORDON ST"
"39895","175-161","158 & 160 CENTRAL ST"
"39896","175-160","154 & 156 CENTRAL ST"
"39897","175-96","30 ALPINE AVE"
"39957","191-102","55 A-B MELENDY RD"
"39994","183-119","6 A&B SHORT ST"
"40002","184-1","1 SHERATON DR"
"40052","197-186","6 & 8 LINDEN ST"
"40058","197-187","10 & 12 LINDEN ST"
"40059","197-189","9 & 11 LINDEN ST"
