objectid,gis_key,address
"10177","48-48-C35","24 RESERVE WAY "
"10178","48-48-C32","18 RESERVE WAY "
"10185","48-48-C56","17 RESERVE WAY "
"10192","48-48-C7","2 WILLIAMSBURG WAY "
"12501","48-48-C15","5 RESERVE WAY"
"12515","48-48-C11","10 RESERVE WAY "
"12524","48-48-C1","2 RESERVE WAY "
"12531","48-48-C2","4 RESERVE WAY "
"12532","48-48-C3","6 RESERVE WAY "
"12544","48-48-C6","1 COLONIAL CT"
"12551","48-48-C10","8 RESERVE WAY "
"12558","48-48-C9","1 WILLIAMSBURG WAY "
"12562","48-48-C4","2 COLONIAL CT"
"12567","48-48","RESERVE WAY"
"12573","48-48-C5","3 COLONIAL CT"
"12588","48-48-C8","3 WILLIAMSBURG WAY "
"13057","48-30","37 FEDERAL HILL RD"
"13176","48-48-C73","50 RESERVE WAY "
"13558","48-48-C72","52 RESERVE WAY "
"13585","52-16","302-304 MELENDY RD"
"13596","48-48-C65","37 RESERVE WAY "
"13604","48-48-C64","35 RESERVE WAY "
"13655","48-48-C63","31 RESERVE WAY "
"13684","48-48-C62","29 RESERVE WAY "
"13714","48-48-C71","54 RESERVE WAY "
"13734","48-48-C66","39 RESERVE WAY "
"13737","48-48-C61","27 RESERVE WAY "
"13744","48-48-C53","1 LIBERTY CT"
"13758","48-48-C51","2 LIBERTY CT"
"13764","48-48-C52","4 LIBERTY CT"
"13769","48-48-C70","56 RESERVE WAY "
"13790","48-48-C60","25 RESERVE WAY "
"13800","48-48-C67","41 RESERVE WAY "
"13809","48-48-C69","58 RESERVE WAY "
"13824","48-48-C68","60 RESERVE WAY "
"13831","48-48-C59","23 RESERVE WAY "
"13834","48-48-C49","46 RESERVE WAY "
"13841","48-48-C50","48 RESERVE WAY"
"13861","48-48-C58","21 RESERVE WAY "
"13865","48-48-C33","20 RESERVE WAY "
"13867","48-48-C34","22 RESERVE WAY "
"13887","48-48-C57","19 RESERVE WAY "
"13893","48-48-C48","1 REVOLUTION WAY"
"13904","48-48-C55","15 RESERVE WAY "
"13906","48-48-C31","16 RESERVE WAY "
"13916","48-48-C54","13 RESERVE WAY "
"13918","48-48-C24","62 RESERVE WAY "
"13924","48-48-C46","2 REVOLUTION WAY "
"13928","48-48-C47","4 REVOLUTION WAY"
"13932","48-48-C36","26 RESERVE WAY "
"13984","48-48-C25","43 RESERVE WAY "
"13994","48-48-C37","28 RESERVE WAY "
"13996","48-48-C30","14 RESERVE WAY "
"14013","48-48-C26","5 CONSTITUTION CT "
"14027","48-48-C27","3 CONSTITUTION CT "
"14028","48-48-C44","42 RESERVE WAY "
"14030","48-48-C38","30 RESERVE WAY "
"14036","48-48-C20","3 FREEDOM WAY"
"14047","48-48-C28","1 CONSTITUTION CT "
"14048","48-48-C45","44 RESERVE WAY "
"14056","48-48-C19","2 FREEDOM WAY"
"14060","48-48-C39","32 RESERVE WAY "
"14071","48-48-C29","11 RESERVE WAY "
"14074","48-48-C40","34 RESERVE WAY "
"14088","48-48-C41","36 RESERVE WAY "
"14094","48-48-C18","45 RESERVE WAY "
"14101","48-48-C42","38 RESERVE WAY "
"14110","48-48-C43","40 RESERVE WAY "
"14158","48-48-C21","1 FREEDOM WAY"
"14220","48-48-C17","47 RESERVE WAY "
"14272","48-48-C23","1 RESERVE WAY "
"14288","48-48-C13","9 RESERVE WAY "
"14291","48-48-C22","64 RESERVE WAY "
"14329","48-48-C12","12 RESERVE WAY "
"14341","48-48-C16","3 RESERVE WAY "
"14390","48-48-C14","7 RESERVE WAY "
"14395","41-40-3C","35-56 GREAT BROOK RD "
"14737","41-40-2C","31-96 GREAT BROOK RD "
"14881","48-35-2","21 EMERSON RD"
"15069","32-4-C","486 NASHUA ST"
"15108","42-15-1","RTE 101 BYPASS OFF"
"15342","43-25","47 TONELLA RD"
"15505","30-130 ","SOUTH ST"
"15799","32-23-1C","16 JAMES ST "
"15812","32-5-C","494 NASHUA ST"
"16067","41-40-C","9-16 GREAT BROOK RD "
"16088","41-40-5C","1-30 GREAT BROOK RD "
"16317","42-73","26 MELENDY RD"
"16500","43-73","16 HAMMOND RD"
"16657","33-4-9C","41 DAVID DR"
"16737","43-61","PONEMAH HILL RD"
"16778","43-68-1C","59 PONEMAH HILL RD "
"17000"," ","MILFORD BYPASS "
"17051","43-60-C","22 PONEMAH HILL RD "
"18057","30-54-C","18 TONELLA RD "
"18903","26-109-C","322 NASHUA ST "
"18917","30-2-C","2-21 RIVERSEDGE DR "
"19025","20-3-C","21 SPAULDING ST "
"19114","30-56-C","1-69 BIRCHWOOD DR "
"19353","27-3","88 SOUHEGAN ST"
"20574","22-61","98 AMHERST ST "
"20977","16-5","344 ELM ST "
"21005","16-5-C","344 ELM ST "
"21013","27-32-C","30 MERRIMACK ST "
"21153","8-52-1C","0 NORTH RIVER RD"
"21273","6-13","37 WILTON RD"
"21305","13-3-A","ELM ST"
"21510","22-80-2","SUMMER ST OFF"
"21950","21-2-4C","30 PERKINS ST "
"22295","19-5","159 ELM ST"
"22498","26-13-C","1-12 BELMONT DR "
"22873","4-20-C","439 NORTH RIVER RD "
"22932","4-17-C","463 - 481 NORTH RIVER RD "
"23901","8-71-C","1-84 QUARRY CIRCLE DR"
"36209","43-43-C","28 JAMES ST"
"36856","17-18-C","157-159 SUMMER ST"
"43625","59-10","0 HOLLIS LINE"
"43668","43-25-1","0 TONELLA RD"
"43767","22-21-1","SUMMER ST OFF"
"43937"," ","CLIFFORD ST"
