objectid,gis_key,address
"64","U007-001-000MC","OLD ST RD"
"96","R011-037-000MC","EAST RIDGE RD"
"105","R011-037-000MC",""
"108","WATER",""
"109","R011-041-000","OLD HANCOCK RD"
"110","R011-041-000","OLD HANCOCK RD"
"112","R011-041-000","OLD HANCOCK RD"
"113","R011-041-000","OLD HANCOCK RD"
"114","R011-042-000","OFF SCOTT MITCHELL RD"
"115","R011-042-000","OFF SCOTT MITCHELL RD"
"126","R011-042-000","OFF SCOTT MITCHELL RD"
"127","R011-042-000","OFF SCOTT MITCHELL RD"
"131","R011-039-000","OLD HANCOCK RD"
"132","R011-039-000","OLD HANCOCK RD"
"134","R011-039-000","OLD HANCOCK RD"
"135","R011-039-000","OLD HANCOCK RD"
"139","ROW",""
"141","ROW",""
"145","ROW",""
"158","R011-037-000MC","WEST RIDGE RD"
"254","ROW",""
"296","U030-014-000MC","UNION ST"
"312","U017-019-000MC","GROVE ST"
"325","U019-005-000MC","WILTON RD"
"352","R012-053-005",""
"359","R011-051-000MC","SOUTHFIELD LN"
"364","R011-051-002","SOUTHFIELD VILLAGE"
"386","U010-035-000","SOUTH WELL"
"387","U010-035-000","SOUTH WELL"
"636","WATER",""
"662","WATER",""
"686","R012-063-000","OLD GULF RD"
"687","R010-007-000","MIDDLE HANCOCK RD"
"761","R008-008-000","238 OLD GREENFIELD RD"
"767","ROW",""
"780","ROW",""
"790","TOWN",""
"825","ROW",""
"836","WATER",""
"909","U014-007-000","100 HIGH ST"
"1006","U032-013-100","OFF MAY ST"
"1044","U032-014-100MC","MAY ST"
"1045","U026-008-000MC","NUBANUSIT"
"1069","ROW",""
"1074","WATER",""
"1077","ROW",""
"1080","ROW",""
"1106","WATER",""
"1157","U004-001-100","OLD STREET RD- CEMETARY"
"1168","ROW",""
"1223","U031-001-000","CRNR OF MACDOWELL & WINDY"
"1248","WATER",""
"1282","WATER",""
"1285","U030-043-100","OFF UNION ST"
"1300","U029-025-000","241 UNION ST"
"1301","WATER",""
"1302","WATER",""
"1379","U016-040-000MC","SAND HILL RD"
"1398","U033-012-000",""
"1399","U033-012-000",""
"1400","U033-012-000",""
"1406","U024-014-000MC","PROSPECT HTS"
"1445","U033-012-000",""
"1446","U033-012-000",""
"1447","U033-012-000",""
"1467","U024-009-100MC","UNION ST"
"1473","U033-012-000",""
"1474","U033-012-000",""
"1475","U033-012-000",""
"1495","U017-093-000MC","HIGH ST"
"1576","WATER",""
"1624","WATER",""
"1653","U016-020-000","OFF SUMMER ST"
"1659","WATER",""
"1663","U016-000-000","VILLAGE YARD"
"1677","WATER",""
"1749","ROW",""
"1769","WATER",""
"1794","U017-110-000MC",""
"1811","WATER",""
"1832","WATER",""
"1839","R006-007-000","OFF CARLEY RD"
"1851","U017-044-000","OFF VALE ST"
"1865","R006-049-100","OFF CARLEY RD"
"1892","R004-013-200","FOUR WINDS RD"
"1977","U019-015-000MC","GOVERNOR SQ"
"2002","U020-024-000MC","JAFFREY RD"
"2006","R006-006-000","OFF CARLEY RD"
"2012","U017-011-000",""
"2097","U002-004-000","OFF CHENEY"
"2102","R004-016-000","OFF FOUR WINDS FARM RD"
"2109","ROW",""
"2134","U002-027-000MC","CHENEY AVE"
"2204","R001-033-000","OFF EAST MOUNTAIN RD"
"2230","R004-015-000","OFF FOUR WINDS FARM RD"
"2275","WATER",""
"2303","WATER",""
"2320","ROW",""
"2378","ROW",""
"2429","R003-005-100","RTE 202 S"
"2444","R001-015-000","TEMPLE MT SKI AREA"
"2451","R003-025-300","RTE 202 S"
"2453","R003-025-000MC","LONGHILL RD"
"2458","R003-025-400","RTE 202 S"
"2469","R003-025-702MC","JAFFREY RD"
"2497","U010-035-000","SOUTH WELL"
"2498","U010-035-000","SOUTH WELL"
"2499","U010-037-000","OFF NICHOLS RD"
"2565","R002-036-000MC","TAGGART LN"
"2580","WATER",""
"2596","WATER",""
"2616","R001-016-000","OFF WILTON RD"
"2631","WATER",""
"2642","WATER",""
"2643","R003-042-000","DRURY RD"
"2647","R003-049-000","RTE 202 S"
"2650","ROW",""
"2651","ROW",""
"2661","WATER",""
"2666","R002-003-102",""
"2684","Unknown",""
"2691","U017-100-000",""
"2820","R008-022-000MC","COLONIAL SQ"
"3053","UNKNOWN",""
"3102","R008-024-100","49 VOSE FARM RD"
"3104","R011-051-991",""
"3105","R011-051-992","TRAILS EDGE"
"3106","R011-051-993",""
"3107","R011-051-994",""
"3108","R011-051-996",""
"3109","R011-051-997","SOUTHFIELD LN"
"3110","R011-051-998",""
"3111","R011-051-995",""
"3122","R011-051-999",""
"3124","U017-158-00E","CONCORD ST"
"3140","ROW",""
"3141","ROW",""
"3162","ROW",""
"3168","U016-041-010","3 WOODMAN'S LANE"
"3172","U016-041-009","5 WOODMAN'S LANE"
"3173","U016-041-011","1 WOODMAN'S LANE"
"3174","U016-041-012","4 WOODMAN'S LANE"
"3175","U016-041-013","10 WOODMAN'S LANE"
