pid,displayid,streetaddress,town,name
000411000368000000,411-368-0000,417 OLD FRANCESTOWN ROAD,Weare,CamaID: 411-368-0000
000109000000000000,,,Weare,
000403000000000000,,,Weare,
000412000129000000,,,Weare,
000411000342000000,411-342-0000,244 OLD FRANCESTOWN ROAD,Weare,CamaID: 411-342-0000
000411000326000000,411-326-0000,118 BUXTON SCHOOL ROAD,Weare,CamaID: 411-326-0000
000411000327000000,411-327-0000,90 BUXTON SCHOOL ROAD,Weare,CamaID: 411-327-0000
000411000275000000,411-275-0000,60 OAK RIDGE ROAD,Weare,CamaID: 411-275-0000
000411000322000000,411-322-0000,194 BUXTON SCHOOL ROAD,Weare,CamaID: 411-322-0000
000411000269000000,411-269-0000,65 OAK RIDGE ROAD,Weare,CamaID: 411-269-0000
000411000263000000,411-263-0000,106 OAK HILL ROAD,Weare,CamaID: 411-263-0000
000411000264000000,411-264-0000,98 OAK HILL ROAD,Weare,CamaID: 411-264-0000
000411000374000000,411-374-0000,471 OLD FRANCESTOWN ROAD,Weare,CamaID: 411-374-0000
000411000299000000,411-299-0000,470 OLD FRANCESTOWN ROAD,Weare,CamaID: 411-299-0000
000411000375000000,411-375-0000,483 OLD FRANCESTOWN ROAD,Weare,CamaID: 411-375-0000
000411000298000000,411-298-0000,478 OLD FRANCESTOWN ROAD,Weare,CamaID: 411-298-0000
000202000157000000,202-157-0000,140 CONCORD STAGE ROAD,Weare,CamaID: 202-157-0000
000000000000000000,,,Weare,
000412000248000000,412-248-0000,455 SOUTH STARK HIGHWAY,Weare,CamaID: 412-248-0000
000411000297000000,411-297-0000,OLD FRANCESTOWN ROAD,Weare,CamaID: 411-297-0000
000411000377000000,411-377-0000,229 DEERING CENTER ROAD,Weare,CamaID: 411-377-0000
000411000376000000,411-376-0000,505 OLD FRANCESTOWN ROAD,Weare,CamaID: 411-376-0000
000411000311000000,411-311-0000,HELEN DEARBORN ROAD,Weare,CamaID: 411-311-0000
000411000306000000,411-306-0000,140 HELEN DEARBORN ROAD,Weare,CamaID: 411-306-0000
000411000307000000,411-307-0000,144 HELEN DEARBORN ROAD,Weare,CamaID: 411-307-0000
000411000308000000,411-308-0000,114 HELEN DEARBORN ROAD,Weare,CamaID: 411-308-0000
000411000379000000,411-379-0000,49 PEACOCK HILL ROAD,Weare,CamaID: 411-379-0000
000411000309000000,411-309-0000,HELEN DEARBORN ROAD,Weare,CamaID: 411-309-0000
000412000247000000,412-247-0000,445 SOUTH STARK HIGHWAY,Weare,CamaID: 412-247-0000
000411000300000001,411-300-0001,464 OLD FRANCESTOWN ROAD,Weare,CamaID: 411-300-0001
000411000373000000,411-373-0000,459 OLD FRANCESTOWN ROAD,Weare,CamaID: 411-373-0000
000411000300000000,411-300-0000,458 OLD FRANCESTOWN ROAD,Weare,CamaID: 411-300-0000
000411000372000000,411-372-0000,OLD FRANCESTOWN ROAD,Weare,CamaID: 411-372-0000
000411000345000000,411-345-0000,218 OLD FRANCESTOWN ROAD,Weare,CamaID: 411-345-0000
000411000346000000,411-346-0000,198 OLD FRANCESTOWN ROAD,Weare,CamaID: 411-346-0000
000411000351000001,411-351-0001,123 OLD FRANCESTOWN ROAD,Weare,CamaID: 411-351-0001
000411000351000002,411-351-0002,139 OLD FRANCESTOWN ROAD,Weare,CamaID: 411-351-0002
000411000310000000,411-310-0000,92 HELEN DEARBORN ROAD,Weare,CamaID: 411-310-0000
000107000000000000,,,Weare,
000411000378000000,411-378-0000,15 PEACOCK HILL ROAD,Weare,CamaID: 411-378-0000
000411000003000000,,,Weare,
000000000000000000,,,Weare,
000411000295000000,411-295-0000,203 DEERING CENTER ROAD,Weare,CamaID: 411-295-0000
000411000291000000,411-291-0000,157 DEERING CENTER ROAD,Weare,CamaID: 411-291-0000
000202000158000000,202-158-0000,1747 RIVER ROAD,Weare,CamaID: 202-158-0000
000106000000000000,,,Weare,
000412000253000000,412-253-0000,95 GUY'S LANE,Weare,CamaID: 412-253-0000
000412000251000000,412-251-0000,80 GUY'S LANE,Weare,CamaID: 412-251-0000
000412000254000000,412-254-0000,81 GUY'S LANE,Weare,CamaID: 412-254-0000
000412000255000000,412-255-0000,63 GUY'S LANE,Weare,CamaID: 412-255-0000
000409000191000013,409-191-0013,EASTMAN WAY,Weare,CamaID: 409-191-0013
000409000191000014,409-191-0014,EASTMAN WAY,Weare,CamaID: 409-191-0014
000000000000000000,,,Weare,
000000000000000000,,,Weare,
000411000330000000,411-330-0000,BUXTON SCHOOL ROAD,Weare,CamaID: 411-330-0000
000411000380000000,411-380-0000,42 BEAVER POND ROAD,Weare,CamaID: 411-380-0000
000411000331000000,411-331-0000,BUXTON SCHOOL ROAD,Weare,CamaID: 411-331-0000
000411000329000000,411-329-0000,BUXTON SCHOOL ROAD,Weare,CamaID: 411-329-0000
000411000327000002,411-327-0002,BUXTON SCHOOL ROAD,Weare,CamaID: 411-327-0002
000411000358000002,411-358-0002,86 LULL ROAD,Weare,CamaID: 411-358-0002
000109000091000000,109-091-0000,95 DANIELS ROAD,Weare,CamaID: 109-091-0000
000411000363000000,411-363-0000,371 OLD FRANCESTOWN ROAD,Weare,CamaID: 411-363-0000
000109000094000000,109-094-0000,DANIELS ROAD,Weare,CamaID: 109-094-0000
000109000093000000,109-093-0000,DANIELS ROAD,Weare,CamaID: 109-093-0000
000411000280000002,411-280-0002,OAK HILL ROAD,Weare,CamaID: 411-280-0002
000411000358000001,411-358-0001,96 LULL ROAD,Weare,CamaID: 411-358-0001
000109000092000000,109-092-0000,99 DANIELS ROAD,Weare,CamaID: 109-092-0000
000411000320000000,411-320-0000,376 OLD FRANCESTOWN ROAD,Weare,CamaID: 411-320-0000
000000000000000000,,,Weare,
000411000358000000,411-358-0000,98 LULL ROAD,Weare,CamaID: 411-358-0000
000411000358000003,411-358-0003,60 LULL ROAD,Weare,CamaID: 411-358-0003
000411000312000001,411-312-0001,OFF HELEN DEARBORN ROAD,Weare,CamaID: 411-312-0001
000411000365000000,411-365-0000,391 OLD FRANCESTOWN ROAD,Weare,CamaID: 411-365-0000
000411000360000000,411-360-0000,287 OLD FRANCESTOWN ROAD,Weare,CamaID: 411-360-0000
000411000283000000,411-283-0000,3 FOREST ROAD,Weare,CamaID: 411-283-0000
000411000287000000,411-287-0000,OFF FOREST ROAD,Weare,CamaID: 411-287-0000
000109000000000000,,,Weare,
000411000321000001,411-321-0001,340 OLD FRANCESTOWN ROAD,Weare,CamaID: 411-321-0001
000411000357000000,411-357-0000,LULL ROAD,Weare,CamaID: 411-357-0000
000411000357000002,411-357-0002,89 LULL ROAD,Weare,CamaID: 411-357-0002
000411000332000000,411-332-0000,BUXTON SCHOOL ROAD,Weare,CamaID: 411-332-0000
000411000333000000,411-333-0000,41 BUXTON SCHOOL ROAD,Weare,CamaID: 411-333-0000
000411000335000000,411-335-0000,53 BUXTON SCHOOL ROAD,Weare,CamaID: 411-335-0000
000411000347000000,411-347-0000,OLD FRANCESTOWN ROAD,Weare,CamaID: 411-347-0000
000411000349000000,411-349-0000,OLD FRANCESTOWN ROAD,Weare,CamaID: 411-349-0000
000411000337000001,411-337-0001,101 BUXTON SCHOOL ROAD,Weare,CamaID: 411-337-0001
000411000337000000,411-337-0000,107 BUXTON SCHOOL ROAD,Weare,CamaID: 411-337-0000
000411000353000000,411-353-0000,OLD FRANCESTOWN ROAD,Weare,CamaID: 411-353-0000
000409000208000000,409-208-0000,309 BARNARD HILL ROAD,Weare,CamaID: 409-208-0000
000108000000000000,,,Weare,
000107000000000000,,,Weare,
000411000282000000,411-282-0000,OAK HILL ROAD,Weare,CamaID: 411-282-0000
000411000366000000,411-366-0000,403 OLD FRANCESTOWN ROAD,Weare,CamaID: 411-366-0000
000411000280000001,411-280-0001,36 OAK HILL ROAD,Weare,CamaID: 411-280-0001
000411000314000000,411-314-0000,MUDGETT LANE,Weare,CamaID: 411-314-0000
000411000284000000,411-284-0000,37 FOREST ROAD,Weare,CamaID: 411-284-0000
000000000000000000,,,Weare,
000411000318000000,411-318-0000,125 HELEN DEARBORN ROAD,Weare,CamaID: 411-318-0000
000411000305000000,411-305-0000,150 HELEN DEARBORN ROAD,Weare,CamaID: 411-305-0000
000411000370000000,411-370-0000,441 OLD FRANCESTOWN ROAD,Weare,CamaID: 411-370-0000
000411000312000000,411-312-0000,HELEN DEARBORN ROAD,Weare,CamaID: 411-312-0000
000411000288000000,411-288-0000,57 FOREST ROAD,Weare,CamaID: 411-288-0000
000411000286000000,411-286-0000,39 FOREST ROAD,Weare,CamaID: 411-286-0000
000000000000000000,,,Weare,
000411000348000000,411-348-0000,196 OLD FRANCESTOWN ROAD,Weare,CamaID: 411-348-0000
000411000296000000,411-296-0000,508 OLD FRANCESTOWN ROAD,Weare,CamaID: 411-296-0000
000412000249000000,412-249-0000,477 SOUTH STARK HIGHWAY,Weare,CamaID: 412-249-0000
000409000191000010,409-191-0010,EASTMAN WAY,Weare,CamaID: 409-191-0010
000411000280000000,411-280-0000,18 OAK RIDGE ROAD,Weare,CamaID: 411-280-0000
000411000362000000,411-362-0000,363 OLD FRANCESTOWN ROAD,Weare,CamaID: 411-362-0000
000411000358000004,411-358-0004,LULL ROAD,Weare,CamaID: 411-358-0004
000409000208000001,409-208-0001,301 BARNARD HILL ROAD,Weare,CamaID: 409-208-0001
000000000000000000,,,Weare,
000000000000000000,,,Weare,
000203000111000000,203-111-0000,EAST ROAD OFF,Weare,CamaID: 203-111-0000
000405000101000000,405-101-0000,32 SCOTT AVENUE,Weare,CamaID: 405-101-0000
000408000191000000,408-191-0000,320 DEERING CENTER ROAD,Weare,CamaID: 408-191-0000
000411000381000000,411-381-0000,738 SOUTH STARK HIGHWAY,Weare,CamaID: 411-381-0000
000409000191000015,409-191-0015,EASTMAN WAY,Weare,CamaID: 409-191-0015
000405000100000000,405-100-0000,48 SCOTT AVENUE,Weare,CamaID: 405-100-0000
000000000000000000,,,Weare,
000409000191000009,409-191-0009,EASTMAN WAY,Weare,CamaID: 409-191-0009
000110000107000000,110-107-0000,TWIN BRIDGE ROAD,Weare,CamaID: 110-107-0000
000411000267000000,411-267-0000,49 OAK RIDGE ROAD,Weare,CamaID: 411-267-0000
000411000321000004,411-321-0004,316 OLD FRANCESTOWN ROAD,Weare,CamaID: 411-321-0004
000411000277000000,411-277-0000,48 OAK RIDGE ROAD,Weare,CamaID: 411-277-0000
000411000280000003,411-280-0003,14 OAK RIDGE ROAD,Weare,CamaID: 411-280-0003
000411000321000002,411-321-0002,334 OLD FRANCESTOWN ROAD,Weare,CamaID: 411-321-0002
000110000000000000,,,Weare,
000411000279000000,411-279-0000,54 OAK HILL ROAD,Weare,CamaID: 411-279-0000
000110000132000000,110-132-0000,90 OLD TOWN ROAD,Weare,CamaID: 110-132-0000
000411000361000000,411-361-0000,295 OLD FRANCESTOWN ROAD,Weare,CamaID: 411-361-0000
000412000255000001,412-255-0001,73 GUY'S LANE,Weare,CamaID: 412-255-0001
000409000191000012,409-191-0012,EASTMAN WAY,Weare,CamaID: 409-191-0012
000412000250000000,412-250-0000,74 GUY'S LANE,Weare,CamaID: 412-250-0000
000411000301000000,411-301-0000,448 OLD FRANCESTOWN ROAD,Weare,CamaID: 411-301-0000
000000000000000000,,,Weare,
000101000128000000,,,Weare,
000402000141000006,402-141-0006,15 ELM DRIVE,Weare,CamaID: 402-141-0006
000411000364000000,411-364-0000,383 OLD FRANCESTOWN ROAD,Weare,CamaID: 411-364-0000
000411000191000000,,,Weare,
000101000098000000,,,Weare,
000411000340000000,411-340-0000,175 BUXTON SCHOOL ROAD,Weare,CamaID: 411-340-0000
000411000272000000,411-272-0000,80 OAK RIDGE ROAD,Weare,CamaID: 411-272-0000
000411000261000000,411-261-0000,124 OAK HILL ROAD,Weare,CamaID: 411-261-0000
000411000323000000,411-323-0000,172 BUXTON SCHOOL ROAD,Weare,CamaID: 411-323-0000
000411000273000000,411-273-0000,76 OAK RIDGE ROAD,Weare,CamaID: 411-273-0000
000411000355000001,411-355-0001,249 OLD FRANCESTOWN ROAD,Weare,CamaID: 411-355-0001
000411000324000000,411-324-0000,148 BUXTON SCHOOL ROAD,Weare,CamaID: 411-324-0000
000411000357000001,411-357-0001,91 LULL ROAD,Weare,CamaID: 411-357-0001
000411000321000000,411-321-0000,214 BUXTON SCHOOL ROAD,Weare,CamaID: 411-321-0000
000411000278000000,411-278-0000,40 OAK RIDGE ROAD,Weare,CamaID: 411-278-0000
000411000359000000,411-359-0000,LULL ROAD,Weare,CamaID: 411-359-0000
000411000321000003,411-321-0003,332 OLD FRANCESTOWN ROAD,Weare,CamaID: 411-321-0003
000411000313000000,411-313-0000,BUXTON SCHOOL ROAD,Weare,CamaID: 411-313-0000
000411000350000000,411-350-0000,140 OLD FRANCESTOWN ROAD,Weare,CamaID: 411-350-0000
000411000328000000,411-328-0000,22 BUXTON SCHOOL ROAD,Weare,CamaID: 411-328-0000
000411000334000000,411-334-0000,45 BUXTON SCHOOL ROAD,Weare,CamaID: 411-334-0000
000411000352000000,411-352-0000,OLD FRANCESTOWN ROAD,Weare,CamaID: 411-352-0000
000411000327000001,411-327-0001,234 OAK HILL ROAD,Weare,CamaID: 411-327-0001
000411000336000000,411-336-0000,63 BUXTON SCHOOL ROAD,Weare,CamaID: 411-336-0000
000411000346000001,411-346-0001,OLD FRANCESTOWN ROAD,Weare,CamaID: 411-346-0001
000107000000000000,,,Weare,
000107000000000000,,,Weare,
000409000191000011,409-191-0011,EASTMAN WAY,Weare,CamaID: 409-191-0011
000412000252000000,412-252-0000,103 GUY'S LANE,Weare,CamaID: 412-252-0000
000109000000000000,,,Weare,
000411000367000000,411-367-0000,409 OLD FRANCESTOWN ROAD,Weare,CamaID: 411-367-0000
000411000369000001,411-369-0001,405 OLD FRANCESTOWN ROAD,Weare,CamaID: 411-369-0001
000403000242000000,403-242-0000,BOYCE ROAD,Weare,CamaID: 403-242-0000
000411000281000000,411-281-0000,257 DUSTIN TAVERN ROAD,Weare,CamaID: 411-281-0000
000411000303000000,411-303-0000,166 HELEN DEARBORN ROAD,Weare,CamaID: 411-303-0000
000411000369000000,411-369-0000,433 OLD FRANCESTOWN ROAD,Weare,CamaID: 411-369-0000
000109000089000000,109-089-0000,167 OLD TOWN ROAD,Weare,CamaID: 109-089-0000
000411000319000000,411-319-0000,402 OLD FRANCESTOWN ROAD,Weare,CamaID: 411-319-0000
000411000285000000,411-285-0000,43 FOREST ROAD,Weare,CamaID: 411-285-0000
000411000369000002,411-369-0002,435 OLD FRANCESTOWN ROAD,Weare,CamaID: 411-369-0002
000411000317000000,411-317-0000,137 HELEN DEARBORN ROAD,Weare,CamaID: 411-317-0000
000411000316000000,411-316-0000,HELEN DEARBORN ROAD,Weare,CamaID: 411-316-0000
000411000289000001,411-289-0001,71 FOREST ROAD,Weare,CamaID: 411-289-0001
000411000304000000,411-304-0000,158 HELEN DEARBORN ROAD,Weare,CamaID: 411-304-0000
000411000316000001,411-316-0001,HELEN DEARBORN ROAD,Weare,CamaID: 411-316-0001
000411000302000000,411-302-0000,440 OLD FRANCESTOWN ROAD,Weare,CamaID: 411-302-0000
000411000289000000,411-289-0000,75 FOREST ROAD,Weare,CamaID: 411-289-0000
000411000290000000,411-290-0000,93 FOREST ROAD,Weare,CamaID: 411-290-0000
000411000316000002,411-316-0002,HELEN DEARBORN ROAD,Weare,CamaID: 411-316-0002
000411000371000000,411-371-0000,447 OLD FRANCESTOWN ROAD,Weare,CamaID: 411-371-0000
000109000090000000,109-090-0000,25 GOULD ROAD,Weare,CamaID: 109-090-0000
000411000317000001,411-317-0001,HELEN DEARBORN ROAD,Weare,CamaID: 411-317-0001
000411000315000000,411-315-0000,HELEN DEARBORN ROAD,Weare,CamaID: 411-315-0000
000407000380000006,,,Weare,
000411000343000001,411-343-0001,226 OLD FRANCESTOWN ROAD,Weare,CamaID: 411-343-0001
000411000354000000,411-354-0000,231 OLD FRANCESTOWN ROAD,Weare,CamaID: 411-354-0000
000411000339000000,411-339-0000,149 BUXTON SCHOOL ROAD,Weare,CamaID: 411-339-0000
000411000343000000,411-343-0000,238 OLD FRANCESTOWN ROAD,Weare,CamaID: 411-343-0000
000407000065000000,,,Weare,
000000000000000000,,,Weare,
000000000000000000,,,Weare,
000411000294000000,411-294-0000,199 DEERING CENTER ROAD,Weare,CamaID: 411-294-0000
000411000293000000,411-293-0000,189 DEERING CENTER ROAD,Weare,CamaID: 411-293-0000
000411000292000000,411-292-0000,177 DEERING CENTER ROAD,Weare,CamaID: 411-292-0000
000409000213000000,409-213-0000,RIVER ROAD,Weare,CamaID: 409-213-0000
000404000133000000,,,Weare,
000106000000000000,,,Weare,
000409000210000000,409-210-0000,482 RIVER ROAD,Weare,CamaID: 409-210-0000
000409000211000000,409-211-0000,492 RIVER ROAD,Weare,CamaID: 409-211-0000
000409000212000000,409-212-0000,524 RIVER ROAD,Weare,CamaID: 409-212-0000
000105000000000000,,,Weare,
000411000351000000,411-351-0000,147 OLD FRANCESTOWN ROAD,Weare,CamaID: 411-351-0000
000411000338000000,411-338-0000,BUXTON SCHOOL ROAD,Weare,CamaID: 411-338-0000
000411000325000000,411-325-0000,136 BUXTON SCHOOL ROAD,Weare,CamaID: 411-325-0000
000411000271000000,411-271-0000,82 OAK RIDGE ROAD,Weare,CamaID: 411-271-0000
000411000355000000,411-355-0000,247 OLD FRANCESTOWN ROAD,Weare,CamaID: 411-355-0000
000411000344000000,411-344-0000,OLD FRANCESTOWN ROAD,Weare,CamaID: 411-344-0000
000411000260000000,411-260-0000,83 OAK RIDGE ROAD,Weare,CamaID: 411-260-0000
000411000262000000,411-262-0000,116 OAK HILL ROAD,Weare,CamaID: 411-262-0000
000411000274000000,411-274-0000,68 OAK RIDGE ROAD,Weare,CamaID: 411-274-0000
000411000270000000,411-270-0000,75 OAK RIDGE ROAD,Weare,CamaID: 411-270-0000
000411000276000000,411-276-0000,56 OAK RIDGE ROAD,Weare,CamaID: 411-276-0000
000411000265000000,411-265-0000,94 OAK HILL ROAD,Weare,CamaID: 411-265-0000
000411000341000000,411-341-0000,298 OLD FRANCESTOWN ROAD,Weare,CamaID: 411-341-0000
000411000268000000,411-268-0000,57 OAK RIDGE ROAD,Weare,CamaID: 411-268-0000
000411000266000000,411-266-0000,84 OAK HILL ROAD,Weare,CamaID: 411-266-0000
000411000356000000,411-356-0000,OLD FRANCESTOWN ROAD,Weare,CamaID: 411-356-0000
000411000267000000,411-267-0000,49 OAK RIDGE ROAD,Weare,CamaID: 411-267-0000
